,Degree Centrality,Betweenness Centrality,Closeness Centrality
HighBP,1.6666666666666665,0.0,1.0
HighChol,1.6666666666666665,0.0,1.0
Stroke,1.6666666666666665,0.0,1.0
HeartDiseaseorAttack,1.6666666666666665,0.0,1.0
